日付,施設名,イベント名,開始時刻,終了時刻,開催場所,対象:6か月まで,対象:0歳,対象:1歳,対象:2歳,対象:3歳以上,対象:パパ,対象:プレ,参加費,申込要否,イベントURL,備考
2026/05/19,はっち,1歳児さんあつまれ〜,10:10,11:00,研修室,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,,
2026/05/21,はっち,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/05/22,はっち,子育てパートナー相談,10:30,12:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,【1】10:30～ 【2】11:30～
2026/05/23,はっち,子サポ入会説明会,14:30,15:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/05/27,はっち,ピアノのしらべ,10:30,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/28,はっち,心理士さんとひろばで話せるよ,10:30,11:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/29,はっち,おしゃべりタイム アラフォー集まれ！,10:10,11:10,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/30,はっち,赤ちゃんふれあいyoga体験,10:00,11:15,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,,受付 9:50～
2026/06/03,はっち,赤ちゃん相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/05,はっち,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/06/05,その他,公園であそぼう！,10:30,11:30,笹下中央公園,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,現地集合（雨天中止）
2026/06/06,はっち,でんしゃのへや,10:00,15:15,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/09,はっち,子サポ入会説明会,10:30,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/10,はっち,子育てパートナー相談,10:30,12:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,【1】10:30～ 【2】11:30～
2026/06/11,はっち,おしゃべりタイム 出身地別で話そう！,10:10,11:10,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/12,はっち,あかちゃんのへや,10:00,11:15,研修室,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/06/13,はっち,パパ日和,10:10,11:10,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,無料,TRUE,,
2026/06/16,はっち,1歳児・2歳児さんあつまれ〜,10:00,11:30,研修室,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/06/18,はっち,なないろ,10:10,11:00,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/06/19,日下地域ケアプラザ,出張はっち！,10:30,11:30,日下地域ケアプラザ,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/20,はっち,初めての沐浴体験,13:00,15:30,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,,【1】13:00～14:00 【2】14:30～15:30
2026/06/23,はっち,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/06/24,はっち,パパの赤ちゃん教室,10:00,11:00,研修室,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,無料,FALSE,,
2026/06/25,はっち,心理士さんとひろばで話せるよ,10:30,11:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,,
2026/06/26,はっち,ピアノのしらべ,10:30,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/27,はっち,子サポ入会説明会,14:30,15:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/30,はっち,おむつはずれのはなし,10:15,11:15,研修室,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,育児支援講座
2026/05/19,はっちサテライト,あかちゃんのへや,10:00,11:15,赤ちゃんコーナー,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/05/19,いそピヨ,はじめての離乳食教室,10:00,11:45,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%af%e3%81%98%e3%82%81%e3%81%a6%e3%81%ae%e9%9b%a2%e4%b9%b3%e9%a3%9f%e6%95%99%e5%ae%a4-17/,
2026/05/20,はっちサテライト,グローバルデイ,14:30,15:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,外国籍の方・外国につながる日本人の未就学児の親子で遊びましょう
2026/05/20,いそピヨ,親子でリトミック,10:30,11:00,研修室,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e8%a6%aa%e5%ad%90%e3%81%a7%e3%83%aa%e3%83%88%e3%83%9f%e3%83%83%e3%82%af-39/,1歳6か月～未就園児のお子さんとその保護者 ※しっかり歩けるようになったお子さん
2026/05/20,日下地域ケアプラザ,子育てひろば,10:00,11:30,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/ch-cns-s.html,
2026/05/21,はっちサテライト,子サポ入会説明会,10:00,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/05/21,いそピヨ,あかちゃんタイム,10:30,11:30,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%82%e3%81%8b%e3%81%a1%e3%82%83%e3%82%93%e3%82%bf%e3%82%a4%e3%83%a0-37/,
2026/05/22,はっちサテライト,赤ちゃん相談,10:00,11:40,ひろば,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/05/22,いそピヨ,アラフォーママの会,13:30,14:45,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%82%a2%e3%83%a9%e3%83%95%e3%82%a9%e3%83%bc%e3%83%9e%e3%83%9e%e3%81%ae%e4%bc%9a-19/
2026/05/23,はっちサテライト,パパとあそぼう！,10:00,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,無料,FALSE,,パパとお子さんでご参加ください
2026/05/23,いそピヨ,みんなで遊ぼうトミカの日,13:30,15:00,研修室,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%bf%e3%82%93%e3%81%aa%e3%81%a7%e3%81%82%e3%81%9d%e3%81%bc%e3%81%86%e3%83%88%e3%83%9f%e3%82%ab%e3%81%ae%e6%97%a5-13/,
2026/05/26,はっちサテライト,パパの赤ちゃん教室,10:00,11:00,ひろば,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,無料,FALSE,,パパとお子さんでご参加ください
2026/05/26,いそピヨ,双子ちゃん・三つ子ちゃんの会,10:30,11:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e5%8f%8c%e5%ad%90%e3%81%a1%e3%82%83%e3%82%93%e3%83%bb%e4%b8%89%e3%81%a4%e5%ad%90%e3%81%a1%e3%82%83%e3%82%93%e3%81%ae%e4%bc%9a-16/,対象：双子・三つ子のお子さんを妊娠中、または子育て中のご家族
2026/05/27,はっちサテライト,子育てパートナー相談,10:00,12:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/27,いそピヨ,ベビーマッサージ,11:00,12:00,研修室,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%83%99%e3%83%93%e3%83%bc%e3%83%9e%e3%83%83%e3%82%b5%e3%83%bc%e3%82%b8-29/,対象：２ヶ月～9ヶ月のお子さんと保護者 ※保護者1回限りの受講となります。
2026/05/27,日下地域ケアプラザ,子育てひろば,10:00,11:30,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/ch-cns-s.html,
2026/05/28,いそピヨ,あつまれ！ニューフェイス,10:30,11:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%82%e3%81%a4%e3%81%be%e3%82%8c%ef%bc%81%e3%83%8b%e3%83%a5%e3%83%bc%e3%83%95%e3%82%a7%e3%82%a4%e3%82%b9-10/,対象：磯子区に新規転入された乳幼児と保護者
2026/05/29,はっちサテライト,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,無料,TRUE,,
2026/05/29,いそピヨ,横浜子育てサポートシステム入会説明会,10:30,11:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a8%aa%e6%b5%9c%e5%ad%90%e8%82%b2%e3%81%a6%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e5%85%a5%e4%bc%9a%e8%aa%ac%e6%98%8e%e4%bc%9a-96/,
2026/05/30,いそピヨ,いそピヨたまごクラス,10:00,12:00,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%e3%81%9f%e3%81%be%e3%81%94%e3%82%af%e3%83%a9%e3%82%b9-45/,磯子区在住で第一子を出産予定の方とご家族、パートナー ♪妊娠6ヶ月～8か月がおすすめです♪
2026/06/01,日下地域ケアプラザ,０歳児赤ちゃん教室,10:00,11:30,3階,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/akachankyousitu.html,１ 原則初めてのお子さん（生後1ヶ月～12ヶ月）と保護者の方（１ヶ月健診がお済みになったら、是非ご参加ください）。 ２ 初めての出産を控えている妊婦さん。
2026/06/02,いそピヨ,栄養相談日,10:00,11:30,ひろば,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a0%84%e9%a4%8a%e7%9b%b8%e8%ab%87%e6%97%a5-25/,当日ひろばにて受付
2026/06/03,はっちサテライト,子サポ入会説明会,10:00,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/03,いそピヨ,保育・教育コンシェルジュ相談（個別）,10:00,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e4%bf%9d%e8%82%b2%e3%83%bb%e6%95%99%e8%82%b2%e3%82%b3%e3%83%b3%e3%82%b7%e3%82%a7%e3%83%ab%e3%82%b8%e3%83%a5%e7%9b%b8%e8%ab%87%ef%bc%88%e5%80%8b%e5%88%a5%ef%bc%89-14/,時間	 ➀10:00～10:30 ②10:30～11:00 ③11:00～11:30
2026/06/03,日下地域ケアプラザ,子育てひろば,10:00,11:30,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/ch-cns-s.html,
2026/06/04,はっちサテライト,プレイパークへ行こう！,10:30,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,サテライト出発
2026/06/05,いそピヨ,プチママの会,10:30,11:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%83%97%e3%83%81%e3%83%9e%e3%83%9e%e3%81%ae%e4%bc%9a-9/,対象：概ね25歳くらいまでのママとお子さん
2026/06/06,はっちサテライト,赤ちゃんとの生活プチ体験,14:30,16:00,ひろば,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://www.hacchi.org/wordpress/wp-content/uploads/2026/04/2604_%E8%B5%A4%E3%81%A1%E3%82%83%E3%82%93%E3%81%A8%E3%81%AE%E7%94%9F%E6%B4%BB%E3%83%97%E3%83%81%E4%BD%93%E9%A8%93%E3%82%B5%E3%83%86%E3%83%A9%E3%82%A4%E3%83%88.pdf,受付 14:15～
2026/06/06,いそピヨ,パパと一緒にベビーマッサージ,11:00,12:00,研修室,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%83%91%e3%83%91%e3%81%a8%e4%b8%80%e7%b7%92%e3%81%ab%e3%83%99%e3%83%93%e3%83%bc%e3%83%9e%e3%83%83%e3%82%b5%e3%83%bc%e3%82%b8-9/,対象：2か月～9か月のお子さんと保護者 ※保護者（パパ）1回限りの受講となります。
2026/06/06,いそピヨ,横浜子育てサポートシステム入会説明会,14:30,15:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a8%aa%e6%b5%9c%e5%ad%90%e8%82%b2%e3%81%a7%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e5%85%a5%e4%bc%9a%e8%aa%ac%e6%98%8e%e4%bc%9a-107/,
2026/06/09,日下地域ケアプラザ,おひさま文庫おはなし会,10:30,11:00,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,外履き入れ（ビニール袋可）
2026/06/10,はっちサテライト,心理士さんとひろばで話せるよ,10:30,11:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,,
2026/06/10,いそピヨ,おしごと出張相談（いそピヨ）,10:00,11:40,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%8a%e3%81%97%e3%81%94%e3%81%a8%e5%87%ba%e5%bc%b5%e7%9b%b8%e8%ab%87%ef%bc%88%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%ef%bc%89-7/,❶10：00～10：30 ❷10：35～11：05 ❸11：10～11：40 ※相談時間はおひとり30分です。
2026/06/10,日下地域ケアプラザ,子育てひろば,10:00,11:30,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/ch-cns-s.html,
2026/06/11,いそピヨ,保育・教育コンシェルジュ相談（個別）,10:00,11:00,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e4%bf%9d%e8%82%b2%e3%83%bb%e6%95%99%e8%82%b2%e3%82%b3%e3%83%b3%e3%82%b7%e3%82%a7%e3%83%ab%e3%82%b8%e3%83%a5%e7%9b%b8%e8%ab%87%ef%bc%88%e5%80%8b%e5%88%a5%ef%bc%89-13/,➀10:00～10:30 ②10:30～11:00
