日付,施設名,イベント名,開始時刻,終了時刻,開催場所,対象:6か月まで,対象:0歳,対象:1歳,対象:2歳,対象:3歳以上,対象:パパ,対象:プレ,参加費,申込要否,イベントURL,備考
2026/06/11,いそピヨ,助産師相談日,13:30,15:00,ひろば,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e5%8a%a9%e7%94%a3%e5%b8%ab%e7%9b%b8%e8%ab%87%e6%97%a5-23/,定員	6組（お一人10分程度）
2026/06/11,日下地域ケアプラザ,親子さんさんるーむ,10:00,11:30,多目的ホール,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,https://www.hacchi.org/wordpress/wp-content/uploads/2026/06/2026_%E3%81%95%E3%82%93%E3%81%95%E3%82%93%E3%82%8B%E3%83%BC%E3%82%80%E5%B9%B4%E9%96%93%E3%83%81%E3%83%A9%E3%82%B7.pdf,
2026/06/12,はっちサテライト,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/12,いそピヨ,金曜おはなし会,11:00,11:20,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,https://isopiyo-isogo.com/calendar/%e9%87%91%e6%9b%9c%e3%81%8a%e3%81%af%e3%81%aa%e3%81%97%e4%bc%9a-39/,
2026/06/13,はっちサテライト,くるまのへや,10:00,15:15,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/13,いそピヨ,パパと一緒におはなし会,11:00,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,無料,FALSE,https://isopiyo-isogo.com/calendar/%e3%83%91%e3%83%91%e3%81%a8%e4%b8%80%e7%b7%92%e3%81%ab%e3%81%8a%e3%81%af%e3%81%aa%e3%81%97%e4%bc%9a-10/,未就学児とパパとご家族
2026/06/14,いそピヨ,日曜開館日,09:30,15:30,いそピヨ,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://isopiyo-isogo.com/calendar/%e6%97%a5%e6%9b%9c%e9%96%8b%e9%a4%a8%e6%97%a5-9/,
2026/06/14,いそピヨ,Sundayいそピヨ「パパと一緒に小児救急法」,10:30,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/sunday%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%e3%80%8c%e3%83%91%e3%83%91%e3%81%a8%e4%b8%80%e7%b7%92%e3%81%ab%e5%b0%8f%e5%85%90%e6%95%91%e6%80%a5%e6%b3%95%e3%80%8d-2/,対象	未就学のお子さんとパパとご家族
2026/06/16,いそピヨ,♪子育てサークルの紹介＆オープンサークル♪,11:00,11:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e2%99%aa%e5%ad%90%e8%82%b2%e3%81%a6%e3%82%b5%e3%83%bc%e3%82%af%e3%83%ab%e3%81%ae%e7%b4%b9%e4%bb%8b%ef%bc%86%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%b5%e3%83%bc%e3%82%af%e3%83%ab%e2%99%aa-4/,
2026/06/16,いそピヨ,横浜子育てサポートシステム入会説明会,14:30,15:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a8%aa%e6%b5%9c%e5%ad%90%e8%82%b2%e3%81%a6%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e5%85%a5%e4%bc%9a%e8%aa%ac%e6%98%8e%e4%bc%9a-98/,
2026/06/17,いそピヨ,親子でリトミック,10:30,11:00,研修室,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e8%a6%aa%e5%ad%90%e3%81%a7%e3%83%aa%e3%83%88%e3%83%9f%e3%83%83%e3%82%af-39/,1歳6か月～未就園児のお子さんとその保護者 ※しっかり歩けるようになったお子さん
2026/06/17,日下地域ケアプラザ,子育てひろば,10:00,11:30,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/ch-cns-s.html,
2026/06/18,いそピヨ,あかちゃんタイム,10:30,11:30,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%82%e3%81%8b%e3%81%a1%e3%82%83%e3%82%93%e3%82%bf%e3%82%a4%e3%83%a0-37/,
2026/06/19,はっちサテライト,赤ちゃん相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,,
2026/06/20,はっちサテライト,はぁとふるタイム！親子で過ごす楽しい時間,10:10,10:40,研修室,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://www.hacchi.org/wordpress/wp-content/uploads/2026/03/%E3%81%AF%E3%81%81%E3%81%A8%E3%81%B5%E3%82%8B%E3%82%BF%E3%82%A4%E3%83%A0%E5%B9%B4%E9%96%93%E4%BA%88%E5%AE%9A%E8%A1%A8-2026%E5%B9%B4%E5%BA%A6.pdf,10:00受付
2026/06/20,いそピヨ,いそピヨたまごクラス,10:00,12:00,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%e3%81%9f%e3%81%be%e3%81%94%e3%82%af%e3%83%a9%e3%82%b9-47/,
2026/06/22,いそピヨ,いぶきっず＠いそピヨ,10:00,12:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%84%e3%81%b6%e3%81%8d%e3%81%a3%e3%81%9a%ef%bc%a0%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%ef%bc%88%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%ef%bc%89-13/,対象	発達が気がかりな未就学のお子さんとご家族
2026/06/22,いそピヨ,いそピヨ遠足「やんちゃクラブに行ってみよう！」,10:30,11:30,汐見台福祉センターA・B会議室,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%e9%81%a0%e8%b6%b3%e3%80%8c%e3%82%84%e3%82%93%e3%81%a1%e3%82%83%e3%82%af%e3%83%a9%e3%83%96%e3%81%ab%e8%a1%8c%e3%81%a3%e3%81%a6%e3%81%bf%e3%82%88%e3%81%86%ef%bc%81-4/,対象	未就園児のお子さんと保護者（やんちゃクラブに興味のある方）
2026/06/23,はっちサテライト,あかちゃんのへや,10:00,11:15,ひろば,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/06/23,いそピヨ,おしえて！幼稚園のこと,10:00,11:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%8a%e3%81%97%e3%81%88%e3%81%a6%ef%bc%81%e5%b9%bc%e7%a8%9a%e5%9c%92%e3%81%ae%e3%81%93%e3%81%a8-3/,対象 	幼稚園に入園を考えているお子さんと保護者
2026/06/24,いそピヨ,保育・教育コンシェルジュ相談（個別）,10:00,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e4%bf%9d%e8%82%b2%e3%83%bb%e6%95%99%e8%82%b2%e3%82%b3%e3%83%b3%e3%82%b7%e3%82%a7%e3%83%ab%e3%82%b8%e3%83%a5%e7%9b%b8%e8%ab%87%ef%bc%88%e5%80%8b%e5%88%a5%ef%bc%89-14/,時間	 ➀10:00～10:30 ②10:30～11:00 ③11:00～11:30
2026/06/24,日下地域ケアプラザ,子育てひろば,10:00,11:30,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/ch-cns-s.html,
2026/06/25,はっちサテライト,子育てパートナー相談,10:00,12:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,,
2026/06/25,いそピヨ,横浜子育てサポートシステム入会説明会,14:30,15:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a8%aa%e6%b5%9c%e5%ad%90%e8%82%b2%e3%81%a6%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e5%85%a5%e4%bc%9a%e8%aa%ac%e6%98%8e%e4%bc%9a-108/,
2026/06/26,いそピヨ,歯みがき教室,10:30,11:00,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%ad%af%e3%81%bf%e3%81%8c%e3%81%8d%e6%95%99%e5%ae%a4-4/,対象	概ね6か月以上で歯が生え始めたお子さんから3歳までのお子さんと保護者 ※終了後、区の保健師から女性特有のがんについて、お話があります。（自由参加）
2026/06/26,いそピヨ,マタニティ・ヨガ＆マタニティさんのための安産カフェ,13:30,15:30,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%83%9e%e3%82%bf%e3%83%8b%e3%83%86%e3%82%a3%e3%83%bb%e3%83%a8%e3%82%ac%ef%bc%86%e3%83%9e%e3%82%bf%e3%83%8b%e3%83%86%e3%82%a3%e3%81%95%e3%82%93%e3%81%ae%e3%81%9f%e3%82%81%e3%81%ae%e5%ae%89-38/,時間:ヨガ 13:30～14:30/カフェ 14:30～15:30 妊娠15週以降の妊婦さんで経過が順調な方
2026/06/27,はっちサテライト,パパとあそぼう！,10:00,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,無料,FALSE,,パパとお子さんでご参加ください
2026/06/30,いそピヨ,‟背守り”づくり＠いそピヨ,10:00,12:00,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e8%83%8c%e5%ae%88%e3%82%8a%e3%81%a5%e3%81%8f%e3%82%8a%ef%bc%a0%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8-3/,ハサミ、針を使用します。お子さんとご一緒の方は十分お気を付けください。
2026/07/01,いそピヨ,保育・教育コンシェルジュ相談（個別）,10:00,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e4%bf%9d%e8%82%b2%e3%83%bb%e6%95%99%e8%82%b2%e3%82%b3%e3%83%b3%e3%82%b7%e3%82%a7%e3%83%ab%e3%82%b8%e3%83%a5%e7%9b%b8%e8%ab%87%ef%bc%88%e5%80%8b%e5%88%a5%ef%bc%89-15/,時間	 ➀10:00～10:30 ②10:30～11:00 ③11:00～11:30
2026/07/03,いそピヨ,横浜子育てサポートシステム入会説明会,10:30,11:30,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a8%aa%e6%b5%9c%e5%ad%90%e8%82%b2%e3%81%a6%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e5%85%a5%e4%bc%9a%e8%aa%ac%e6%98%8e%e4%bc%9a-109/,
2026/07/04,いそピヨ,いそピヨたまごクラス,10:00,12:00,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%e3%81%9f%e3%81%be%e3%81%94%e3%82%af%e3%83%a9%e3%82%b9-48/,磯子区在住で第一子を出産予定の方とご家族、パートナー ♪妊娠6ヶ月～8か月がおすすめです♪
2026/07/06,日下地域ケアプラザ,０歳児赤ちゃん教室,10:00,11:30,3階,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://www.city.yokohama.lg.jp/konan/kosodate_kyoiku/kosodateshien/kosodateevent/akachankyousitu.html,１ 原則初めてのお子さん（生後1ヶ月～12ヶ月）と保護者の方（１ヶ月健診がお済みになったら、是非ご参加ください）。 ２ 初めての出産を控えている妊婦さん。
2026/07/07,いそピヨ,栄養相談日,10:00,11:30,ひろば,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e6%a0%84%e9%a4%8a%e7%9b%b8%e8%ab%87%e6%97%a5-25/,当日ひろばにて受付
2026/07/09,いそピヨ,助産師相談日,13:30,15:00,ひろば,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e5%8a%a9%e7%94%a3%e5%b8%ab%e7%9b%b8%e8%ab%87%e6%97%a5-23/,定員	6組（お一人10分程度）
2026/07/09,日下地域ケアプラザ,親子さんさんるーむ,10:00,11:30,多目的ホール,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,https://www.hacchi.org/wordpress/wp-content/uploads/2026/06/2026_%E3%81%95%E3%82%93%E3%81%95%E3%82%93%E3%82%8B%E3%83%BC%E3%82%80%E5%B9%B4%E9%96%93%E3%83%81%E3%83%A9%E3%82%B7.pdf,
2026/07/10,いそピヨ,金曜おはなし会,11:00,11:20,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,https://isopiyo-isogo.com/calendar/%e9%87%91%e6%9b%9c%e3%81%8a%e3%81%af%e3%81%aa%e3%81%97%e4%bc%9a-39/,
2026/07/14,日下地域ケアプラザ,おひさま文庫おはなし会,10:30,11:00,多目的ホール,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,外履き入れ（ビニール袋可）
2026/07/16,いそピヨ,あかちゃんタイム,10:30,11:30,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%82%e3%81%8b%e3%81%a1%e3%82%83%e3%82%93%e3%82%bf%e3%82%a4%e3%83%a0-37/,
2026/07/18,いそピヨ,いそピヨたまごクラス,10:00,12:00,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%84%e3%81%9d%e3%83%94%e3%83%a8%e3%81%9f%e3%81%be%e3%81%94%e3%82%af%e3%83%a9%e3%82%b9-47/,磯子区在住で第一子を出産予定の方とご家族、パートナー ♪妊娠6ヶ月～8か月がおすすめです♪
2026/07/22,いそピヨ,ベビーマッサージ,11:00,12:00,研修室,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%83%99%e3%83%93%e3%83%bc%e3%83%9e%e3%83%83%e3%82%b5%e3%83%bc%e3%82%b8-29/,対象：２ヶ月～9ヶ月のお子さんと保護者 ※保護者1回限りの受講となります。
2026/07/24,いそピヨ,アラフォーママの会,13:30,14:45,研修室,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%82%a2%e3%83%a9%e3%83%95%e3%82%a9%e3%83%bc%e3%83%9e%e3%83%9e%e3%81%ae%e4%bc%9a-19/
2026/07/26,いそピヨ,日曜開館日,09:30,15:30,いそピヨ,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,https://isopiyo-isogo.com/calendar/%e6%97%a5%e6%9b%9c%e9%96%8b%e9%a4%a8%e6%97%a5-9/,
2026/07/29,いそピヨ,保育・教育コンシェルジュ相談（個別）,10:00,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e4%bf%9d%e8%82%b2%e3%83%bb%e6%95%99%e8%82%b2%e3%82%b3%e3%83%b3%e3%82%b7%e3%82%a7%e3%83%ab%e3%82%b8%e3%83%a5%e7%9b%b8%e8%ab%87%ef%bc%88%e5%80%8b%e5%88%a5%ef%bc%89-14/,時間	 ➀10:00～10:30 ②10:30～11:00 ③11:00～11:30
